CPUUtilization_Average,NetworkIn_Average_original,NetworkIn_Average,NetworkOut_Average,NetworkOut_Average_original,MemoryUtilization_Average,Final_Target,Final_Class
71,346313177,3,324759816,3,61.81119623,62.93365972812159,3
71,42314180,0,38686976,0,69.69758286,67.03115200938252,3
13,42916,0,40311,0,32.32225889,22.38434582383218,1
44,177237855,1,168546941,1,53.25672211,46.73613426600155,2
79,426138906,3,408686613,3,68.51803967,69.91107496212337,3
3,38188,0,37867,0,36.20985264,20.070459922293395,1
72,194347270,1,176093659,1,54.50491957,59.65364730590594,2
3,38004,0,37467,0,36.11968095,20.02371360166776,1
41,159763691,1,147752540,1,53.65317275,45.634222582669565,2
29,4164962,0,3271935,0,72.99310368,50.687199259479335,2
52,171349237,1,156916615,1,43.8177018,45.30228722096035,2
80,441198410,4,406512260,3,56.70463361,64.22276703084816,3
77,109925156,1,106080879,0,60.59939029,64.79981411759775,3
2,22088,0,17357,0,53.82566395,28.769793349182503,1
1,192025,0,153319,0,53.96263575,28.69800507420461,1
96,365103067,3,327727058,3,85.70917151,86.15083924570128,3
3,41963,0,39607,0,38.63483614,21.327604497269395,1
3,5280,0,2369,0,22.91707202,13.179292257806878,1
35,77537577,0,59812613,0,52.14606087,42.21682270148294,1
71,67349033,0,58103120,0,54.16651638,58.8468727301184,2
76,47298772,0,43256636,0,60.29125186,64.32158500970671,3
24,71145382,0,64059464,0,51.20405879,36.9657561680067,1
71,197540375,1,177851524,1,58.60286686,61.493473380709766,3
1,0,0,0,0,53.76153624,28.593674033399434,1
60,264381266,2,240465436,2,53.16700763,53.65255241829213,2
3,42091,0,39607,0,38.64941602,21.335162928209474,1
1,0,0,0,0,53.8586617,28.644025148342507,1
75,213674623,1,193273528,1,85.11178767,76.82771028939408,3
75,193385294,1,175030428,1,71.96664529,69.96972200685593,3
29,38626172,0,30736183,0,47.01724743,36.94497398068621,1
77,46776468,0,42736678,0,88.94523411,79.60887621248673,3
77,214912063,2,194486308,1,80.32835877,75.19700892125633,3
3,41389,0,39047,0,42.02656179,23.08591939323911,1
