CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average
71,346313177,324759816,61.81119623
71.33,42314180,38686976,69.69758286
13,42916,40311,32.32225889
44,177237855,168546941,53.25672211
79,426138906,408686613,68.51803967
3,38188,37867,36.20985264
72.33,194347270,176093659,54.50491957
3,38004,37467,36.11968095
41,159763691,147752540,53.65317275
29.67,4164962,3271935,72.99310368
52,171349237,156916615,43.8177018
80,441198410,406512260,56.70463361
77,109925156,106080879,60.59939029
2,22088,17357,53.82566395
1.67,192025,153319,53.96263575
96,365103067,327727058,85.70917151
3,41963,39607,38.63483614
3,5280,2369,22.91707202
35,77537577,59812613,52.14606087
71,67349033,58103120,54.16651638
76.33,47298772,43256636,60.29125186
24,71145382,64059464,51.20405879
71.67,197540375,177851524,58.60286686
1.67,0,0,53.76153624
60,264381266,240465436,53.16700763
3,42091,39607,38.64941602
1.67,0,0,53.8586617
75.33,213674623,193273528,85.11178767
75.25,193385294,175030428,71.96664529
29,38626172,30736183,47.01724743
77.33,46776468,42736678,88.94523411
77.29,214912063,194486308,80.32835877
3,41389,39047,42.02656179
4,40519,38200,38.82737176
2,10018180,9578574,32.7596551
76,213484076,193410904,75.43265449
83,424386408,403723858,52.71015465
72,85755030,82221431,47.2341675
4,41913,39084,36.17982928
2.03,0,0,53.96346588
74,266202483,215026190,53.11463184
52,335758144,320844348,42.13354859
76,214748365,194347270,67.21486518
2,0,0,53.19715016
31,37709620,39229026,64.25426487
39,392223491,388123320,52.41876039
3,46484,41129,39.74183972
48,176921199,134280637,42.21660815
1.67,4733,3791,53.91075249
1.67,0,0,53.56220076
1.67,0,0,53.1201554
32,17739341,22858464,46.36308356
95,347753768,265702806,85.98342641
73,43023060,39411327,80.33147176
62,322550369,321265415,59.03253649
73.22,42486642,38951188,70.54639297
2,0,0,54.08591037
4,40939,38394,38.65764577
73.56,42435932,38766790,57.21841399
1,5058,2279,26.64464276
46,201012570,223178066,55.49821257
72,100537889,99356769,55.41505141
1.97,0,0,53.93451503
37,149114217,119225397,53.5385658
1.67,0,0,90.50609006
63,204487759,250544627,43.78188712
71.67,42469010,38897173,59.73195033
29,28063694,32913433,37.90645208
28,21474906,25810628,48.29067493
35,345057042,313704409,44.67440907
32,44803419,41654918,37.07778693
97,376528563,338218245,85.03749084
28,4155349,3247650,55.21696541
83,55725595,50843977,92.76861519
73.9,43033002,39299308,78.04165603
43,130642080,118566955,54.79908985
72,194543503,176814249,66.35360308
11,5418,2449,22.83960056
84,484176150,468067768,58.02515358
98,358450396,321488396,62.8079012
2,0,0,90.51231605
29,29140706,27158793,52.56400031
3,5108,2279,22.90117132
76.72,47993562,43778655,87.71570465
1.67,0,0,53.60713167
77,430273147,398839108,53.83625938
30,4183084,3244523,73.71085668
32,325925910,301931535,59.07622531
72.67,198642237,179314885,94.00239908
3,42364,39666,36.20675378
77,47150088,43165709,82.26101015
1.69,4769,3827,53.84257789
47,186250583,179825129,54.61966088
98.67,380104606,341449900,57.13737234
72.13,196918785,178025126,64.95348147
28.33,19327353,15032386,54.509174
26,41486497,38094133,55.91279915
72.67,41623905,38312681,78.46741005
27,34155442,25527498,44.97179785
74.24,42467476,38885928,64.76078705
49,356425222,327192387,48.17586477
71.33,193250786,175604867,67.33181004
65,381188236,364123838,55.26656022
42,209126045,205653521,52.12528328
97.67,371514671,333933707,77.96870817
3,41439,39029,38.70544947
4,5244,2333,22.90487979
57,143859534,207885788,56.14663594
1.97,21667,17357,53.43705834
38,90193402,91769162,61.52330722
75,98592493,89302268,59.46012811
28.33,4154762,3230842,55.01420564
46,168646284,158989513,43.17415532
51,57310387,51364307,57.08543755
98.64,270582940,227633267,57.05062353
28.67,4233473,3302316,54.84610388
57,166585506,214339436,52.47601306
72,193862410,176649694,65.48746397
3,41133,38831,38.72709068
5,4946,2225,22.9852469
74.24,198642237,178241143,54.26594528
97,82912821,75025099,78.11574532
50,119245460,145757949,62.72429256
94.67,341449900,307090162,58.63181772
30.33,27083231,22049633,57.15262602
69,303070034,302271196,51.89413894
81,443418987,428859544,61.70461583
1.67,42478,34343,55.82109407
72.67,193880500,175616284,70.55842989
75.33,208305914,188978561,70.34653866
82,255751420,230872030,64.36958728
2,5000,2225,26.63422856
77,47012595,43014607,64.55024479
72.33,198365251,179147209,62.159568
24,22779444,19654537,54.68072363
76,391509332,372521698,54.53319766
73,197568496,179314885,86.24107867
28.67,4213546,3297422,57.08164972
76,395163264,378924824,63.33837448
87,39210033,35532785,79.16648508
30,18287108,22681856,51.90668678
72,194347270,176093659,55.132707
1,5000,2225,22.85362163
1.67,21402,16686,53.45594385
29.67,4161556,3241775,73.20323087
78,416204418,398344225,67.47113363
27,23596526,24654488,73.75780239
46,164792828,133220811,60.27939508
73.33,42277756,38697643,88.33695478
31,77688548,75682617,54.99807718
24,10455252,15023176,50.63290368
28.85,19327353,15032386,54.87567734
66,307165959,286130042,65.03187506
75.67,214748365,194347270,60.59466516
2,4787,3791,53.45615138
72,99160549,94586256,45.72700482
84,394702058,369513659,60.23616347
83,422263822,413477081,49.94643039
67,358406660,330005586,57.37789864
3,37887,37549,36.69896422
61,319397458,260331593,48.3956297
4,41262,38433,35.9573719
4.67,0,0,54.49008096
3,41813,39260,38.67430848
63,175565888,171217324,56.96437888
42,133084882,125127698,55.35551269
81,448990732,427812270,50.11148269
4,38252,37833,36.1275043
3,41187,38831,38.57494182
2,42879,40237,32.9138868
76.61,46700951,42710838,63.1748196
51,95026753,100984149,37.28551203
9,5144,2663,22.91173792
72,377265918,348974709,53.58941755
55,228341000,198179314,53.29131756
74.67,193273528,176093659,79.87043713
1.97,0,0,54.02697099
72.67,190052303,173946175,78.46741005
75,375572910,362404290,48.06836995
3,42147,39373,38.61822423
79,416447577,389946772,57.86198092
36,53567973,49298818,47.61055176
73,198179689,178606682,74.40889404
1.97,42306,34163,53.95236287
76.33,214586446,194186458,91.32200618
3,40892,38637,38.56356241
76.33,215175844,194277291,71.05381124
76.07,219054932,198259849,90.18493269
40,439490837,413271092,60.27324817
51,130725795,163342155,48.65435895
43,80338980,127442860,45.56378136
80,407911017,388871996,42.57155441
79.32,47085577,42970250,58.86456602
2,0,0,53.57309625
46,120847497,119715402,49.43130873
84.67,331423512,294647891,89.34795196
60,363575973,340799253,54.5350773
30,24296590,31926355,65.50559395
96,365224063,328316683,53.05831056
77,399837400,382374991,62.10045685
1.67,154706,31818,53.81082534
97.05,362249205,274836180,84.62657544
91,73518717,56553789,84.0973662
4,41876,39101,36.10774273
30,51563495,49250549,59.24793253
1.67,0,0,53.72428406
1.67,4769,3867,53.88055644
77.67,46571422,42328082,55.47140091
47,154994533,128152040,66.72278479
71.48,196896944,178802216,72.41024715
31,117373882,109235807,59.9285129
71.48,196494754,179314885,72.41024715
75.67,215822107,194347270,76.41210665
1.69,4837,3791,53.88979166
57,180245852,185705004,66.85207321
0,5202,2411,26.67446292
94.33,346785274,264435419,91.45669512
80,416079305,404746308,54.23047478
72.33,42987427,39332095,84.55746693
43,72200645,81020105,57.45882456
28,21850837,23990893,60.59009371
76,214428557,194504589,80.87717988
74.58,194347270,176093659,83.39704597
2,0,0,54.08207101
78,400609089,387940340,52.85590259
63,283404713,245073125,51.23707941
4,5000,2225,22.91194112
10,5412,2583,26.64576038
75,384675342,374493188,57.24347932
12,5000,2225,26.66135627
31,48557538,49431718,52.20681881
51,119554209,139436507,67.36465483
29,42338475,45088896,67.44690157
43,172297441,168385864,58.88841418
2.03,0,0,52.99127739
2,0,0,53.40167396
5,5388,2477,22.88557542
83,431899683,404267486,63.80797849
79,432341174,417409802,63.09183746
77,47148895,43019774,81.80173954
79,415557230,398837460,51.94189184
24,26642986,27610722,50.55538142
4,46367,41219,36.17398717
74.58,199524993,179089544,86.05108218
4,55977,62078,41.90418229
78,426969691,398379434,59.13611963
28,36716044,30041006,47.04442594
51,216021695,161400894,53.85627496
72.33,194299202,175948491,59.88355321
3,41428,38963,38.70219821
2,5054,2333,23.0014016
48,164398955,125123200,57.11825497
72.67,197224272,179119948,80.65294043
1.67,0,0,53.94655194
73.33,196713491,178399549,54.77004302
52,22588690,19449423,54.41564426
98.64,374035625,336558018,66.66023314
28,27720588,24448931,45.09610778
27,24753733,25518301,56.82117099
45,112410883,108709570,56.23279435
25,37876297,43128386,57.49697607
79,392378612,386414866,65.95472517
60,246645863,226607620,64.64985189
1.67,193260,154596,53.95018377
3,41385,38993,38.77306554
28,26620525,27954501,47.14699307
2,306141,181943,55.83396112
77,215822107,194347270,88.35957589
60,184646021,236913965,60.25445181
30,34893105,33395108,50.23594503
77,406384989,399705114,48.6144802
4,5090,2315,22.9856025
64,325149242,297905646,52.90304587
73,102765734,100026071,65.52545712
43,184876602,179477934,67.2724511
72.33,198063752,178127045,79.82633636
2,42252,34123,54.05011093
60,406028753,399434365,43.78402076
78.67,47341272,43224614,58.88542309
3,41516,39079,38.54542647
1.67,0,0,53.84257789
44,173773105,161557413,51.50022835
48,294261620,250656928,61.88617843
35,257457534,231820638,44.90712824
95.67,79349651,72066818,97.91595327
60,233623461,225507080,62.56960366
53,70566773,73962815,46.34062954
38,99381722,94231397,60.62555278
5,5198,2477,22.89040152
26,18603058,21898214,63.21883984
29.33,19327353,15032386,72.45050856
8,5000,2225,22.87998732
4,41984,39138,36.20589017
30,35950618,31505918,62.84977091
61,166455845,218574634,60.15117348
6,5090,2369,22.90442258
57,179042961,223735657,59.94720765
3,41863,39445,38.76194013
71.67,197568496,178241143,58.60286686
2,4829,3831,53.82566395
6,5334,2423,26.68086384
2,5000,2225,22.91595439
35,77872053,75125817,59.144959
31,40485697,39356378,63.87803301
76.33,217230142,189379665,80.18962293
5,5334,2423,26.66679198
42,132423523,126112934,55.17024161
30,81780831,120878352,40.41596837
78.31,216895848,196494754,63.77137331
77,393887865,383555875,51.79268944
73,356107797,335508131,61.51421385
4,41732,39133,38.83306146
1.67,21813,17338,53.42844572
98.64,357556027,319975064,85.1832828
58,158937260,216559244,53.24696833
31,23100712,21093701,64.37217388
3,42248,39402,36.28458084
46,91254736,109273644,52.05035187
79,432151320,415925630,61.25777064
76.33,215822107,195421012,67.91715696
82.67,255550554,230854492,75.8903686
81,479921372,450642825,62.6249767
73,43221468,39284255,54.82036978
28.14,19146685,14975446,71.5888314
73.33,196494754,178241143,54.77004302
27,23285184,25874776,60.10865308
76.67,47571580,43494441,54.67084223
32,159024264,140708465,66.34340327
78,88695161,88230256,61.44446414
72.46,42964116,39544713,58.40778581
29,37802812,32451838,51.24993205
3,41876,39391,36.2717282
80,460164609,436642334,65.30223773
83,452652967,414853046,44.25779045
70,353948840,314376482,51.79101301
77,46908643,42895281,81.67784232
2,0,0,53.57714314
81.33,256401886,231365362,66.00557019
54,245315740,182798959,54.68742935
48,112365338,106671077,52.31720928
81,458961733,437068537,70.54748695
76.72,223338299,194347270,81.09996659
61,33337047,31148529,46.75872138
46,152463869,125785205,65.62289335
96.72,375809638,336081191,98.04223712
1.64,4667,3739,53.58938759
84,464383794,446249498,38.5047349
81,423952659,397753789,52.5899088
46,55292570,51777411,60.44922267
77,214829704,194046486,89.54282548
77.29,47372561,43136933,73.60698639
34,111907101,106638155,52.19178173
77,376089585,359369129,70.39457608
1.67,0,0,53.57880341
3,41266,38814,38.68167462
1.67,0,0,53.04596234
77.33,211527139,192199786,76.91423282
79,224227527,193999124,69.07892689
71,51191730,48675305,47.17310476
3,41984,39155,36.24678493
72.33,193797551,176137714,83.40773393
81.67,54377560,49637969,72.01033099
41,327957628,325077726,57.57155187
3,5222,2423,23.0336602
1.67,0,0,53.1424652
28,19327353,15032386,56.80179143
96.67,369367187,330712482,57.59996347
75,194347270,177167401,76.93820289
78,434855569,405366945,72.81554631
30,37045171,34972778,50.2560622
77,391520229,384870902,45.30190244
73,42991944,39375456,82.46916578
71.67,194347270,176093659,53.27072062
77.67,47712839,43620820,56.82441253
3,41855,39536,38.67380048
67,345898004,290732478,64.6612313
72,42393814,38910849,87.06768275
84,448852464,426619569,54.40685569
98.33,382169309,342681283,72.74053597
3,41876,39084,39.73477838
79,415864674,408325535,51.77912558
2.03,42323,34163,54.04284727
79.66,215822107,195421012,60.29519499
78,416607165,406716362,57.34442081
34,111990,123934,35.18631504
51,122169582,158549359,41.96138416
4,41859,39084,36.01482778
33,38048751,32489351,61.06066294
1.67,4769,3827,53.42844572
76.07,219043332,197568496,68.82386879
4,41600,38926,35.99643784
44,123104425,119780110,53.86323469
77,47248323,43154648,60.97808244
72.33,194347270,176093659,55.32975961
2,41884,33797,54.10074899
71.67,193273528,176093659,60.18665521
1.67,42177,33927,55.84599804
73.11,43915657,39995845,76.5805197
29.84,4217379,3302056,73.56330069
68,276754545,274719169,52.97061114
33,48234993,45592230,38.19053101
12,7113217,7722250,62.77707475
3,41241,38939,38.63722379
64,298159187,293558621,58.47992372
34,93308817,86350600,54.9189801
73.9,198642237,178241143,73.75101432
76.07,47799159,43595378,68.82386879
4,41937,39499,41.82955569
72.54,193943918,175877887,72.03980069
73.77,196365196,178592791,68.50696585
2,42550,34295,90.50588252
67,252957575,249979168,51.96556508
76.67,217130398,196258481,84.14675906
98.67,83151522,75398589,57.13737234
77.67,218052242,197429679,79.38439476
48,218647567,184845754,52.64182737
27,9236843,14027345,44.32621934
56,332735574,317630885,63.64759988
72.67,193994291,175918988,67.34509216
