CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
24,126529782,108219655,48.57792671629783,34.8455672444659
26,119904649,102625793,50.47391808725681,36.780082448836424
30,108569242,94575326,52.056835713182544,39.353200608602904
32,98139956,88897357,50.42845746270086,39.445856077316094
32,89341356,85419537,46.81494986128993,37.56465308933668
30,85335212,86025028,43.30813535100955,35.29404883456619
30,89044567,92524925,41.45019514439329,34.15305525381905
31,101098088,104916160,41.66325834582938,34.88758529033715
35,119683389,121327010,43.78211183676943,37.566932574511874
40,141609478,139106441,47.646972069671996,41.91032844190515
46,163631528,156061699,52.90327472568591,47.2715144339786
51,183404157,171070322,58.488409640115535,52.477660191884034
55,199439144,183560666,62.86263364369512,56.1035731665463
55,210281121,192401745,65.05631554972406,57.23459760978758
52,214456355,195901118,65.44804395871792,56.07680426519237
47,212013852,193578405,65.41555516773701,53.82906650953851
42,205782110,187666763,66.21438134329622,51.92220719631874
39,199985900,181947520,68.09846247933937,51.23358797074903
38,197149929,178799262,70.27986756111888,51.78663438791068
39,196705693,177780732,71.57827557698421,53.00514657826046
42,196745369,177207045,71.21028894841673,54.21845303518239
46,196874858,176836746,69.17950295154213,55.020948290723496
50,199402220,179040792,66.05200586540056,55.28712773175159
53,207727071,187318096,62.38178465254368,54.94459630831262
54,222632974,202762891,58.316888530277,53.77434387186973
54,239130380,220944974,53.70873525641196,51.46251246319733
52,247529966,232674945,48.569517956169044,47.92737833060289
48,239635160,229620027,43.41341256979133,43.672638116927395
44,215437697,210685551,39.11669828691393,39.77221430197758
42,183978513,183337527,36.364470249322586,37.332549843929066
42,157319373,158585389,35.174870819236766,36.808389582152756
44,143238597,144327848,34.98095012840412,37.800167958029625
48,142819444,142609676,35.234689181404086,39.54689133308076
51,153505469,151751393,35.96620660240059,41.62934397029317
55,173034202,169688491,37.74680253785614,44.18681890820974
58,199993875,194693444,41.072038805762745,47.479802074395806
62,231322149,223419718,45.74155858487875,51.32419407802016
65,260661198,249603568,50.816746826086685,55.01949238600422
66,280470095,266144855,55.19606519759945,57.823759164089
66,286492234,269348322,58.304923662318274,59.46882872970971
66,280274041,261228502,60.33305333513564,60.23145584542997
65,267113409,247336824,61.85389429126847,60.53765994959985
64,251404426,232074892,63.1905118117833,60.48577884718368
61,233958362,216034187,64.15612752821437,59.74497854988787
57,213625784,197650030,64.47093573233401,57.978213190071536
52,190901982,176873249,64.38701518804305,55.413567246969386
46,169447260,156838694,64.67502116861098,52.926789886893296
42,154398003,142359690,65.7851934969702,51.42673072417881
40,149978474,137608446,67.04570097202885,51.104469849808766
40,158671698,145170474,66.85755633220565,51.28884447447608
43,181068224,165734133,63.77766568063889,50.97102675912982
46,214456134,196690702,57.46502898056718,49.3830956378732
48,250985113,230492650,48.753688135815146,46.16855468313902
